oc_id,fecha_pedido,fecha_recepcion_esperada,proveedor,sku,marca,cantidad_cajas,costo_unitario,monto_total_mxn,lead_time_dias,condicion_pago,recibido
OC00048,2024-05-28,2024-06-03,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,5035,418.48,2107046.8,6,45 días,1
OC00049,2024-07-07,2024-07-15,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,2900,427.3,1239170.0,8,30 días,1
OC00050,2024-08-04,2024-08-12,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,3751,446.1,1673321.1,8,60 días,1
OC00051,2024-09-04,2024-09-09,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,7353,432.04,3176790.12,5,60 días,1
OC00052,2024-10-29,2024-11-04,PROV001 - Laboratorios Jaloma SA de CV,SKU003,Jaloma Belleza,7969,427.43,3406189.67,6,Contado,1
OC00053,2022-12-24,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,2418,736.74,1781437.32,9,45 días,1
OC00054,2023-01-15,2023-01-23,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,4110,718.12,2951473.2,8,60 días,1
OC00055,2023-03-13,2023-03-20,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,1936,721.2,1396243.2,7,30 días,1
OC00056,2023-04-05,2023-04-10,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,2401,674.37,1619162.37,5,45 días,1
OC00057,2023-04-26,2023-05-01,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3571,699.59,2498235.89,5,30 días,1
OC00058,2023-06-09,2023-06-19,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3386,718.6,2433179.6,10,60 días,1
OC00059,2023-07-10,2023-07-17,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,5529,733.35,4054692.15,7,Contado,1
OC00060,2023-09-25,2023-10-02,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3643,707.5,2577422.5,7,45 días,1
OC00061,2023-10-30,2023-11-06,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,5527,788.81,4359752.87,7,60 días,1
OC00062,2023-12-19,2023-12-25,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3669,742.64,2724746.16,6,Contado,1
OC00063,2024-01-27,2024-02-05,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3159,727.12,2296972.08,9,30 días,1
OC00064,2024-03-19,2024-03-25,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,2571,678.38,1744114.98,6,45 días,1
OC00065,2024-04-20,2024-04-29,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3888,718.34,2792905.92,9,30 días,1
OC00066,2024-06-03,2024-06-10,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,4031,734.72,2961656.32,7,60 días,1
OC00067,2024-07-16,2024-07-22,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3023,717.31,2168428.13,6,Contado,1
OC00068,2024-08-26,2024-09-02,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3589,716.16,2570298.24,7,60 días,1
OC00069,2024-10-05,2024-10-14,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3470,715.47,2482680.9,9,Contado,1
OC00070,2024-11-05,2024-11-11,PROV001 - Laboratorios Jaloma SA de CV,SKU004,Jaloma Belleza,3915,699.75,2739521.25,6,60 días,1
OC00071,2022-12-24,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,1473,370.5,545746.5,9,Contado,1
OC00072,2022-12-30,2023-01-09,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,2393,424.08,1014823.44,10,30 días,1
OC00073,2023-01-27,2023-02-06,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,4387,374.36,1642317.32,10,45 días,1
OC00074,2023-03-18,2023-03-27,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,5442,382.71,2082707.82,9,Contado,1
OC00075,2023-04-22,2023-05-01,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,7910,393.96,3116223.6,9,60 días,1
OC00076,2023-06-06,2023-06-12,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,10641,357.93,3808733.13,6,Contado,1
OC00077,2023-08-26,2023-09-04,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,2092,414.23,866569.16,9,60 días,1
OC00078,2023-09-17,2023-09-25,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,5058,408.25,2064928.5,8,30 días,1
OC00079,2023-11-15,2023-11-20,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,4001,366.55,1466566.55,5,30 días,1
OC00080,2024-01-22,2024-01-29,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,3933,384.96,1514047.68,7,45 días,1
OC00081,2024-03-02,2024-03-11,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,5345,404.92,2164297.4,9,60 días,1
OC00082,2024-04-13,2024-04-22,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,7397,389.65,2882241.05,9,30 días,1
OC00083,2024-05-24,2024-06-03,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,7500,405.59,3041925.0,10,60 días,1
OC00084,2024-07-16,2024-07-22,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,7143,413.83,2955987.69,6,Contado,1
OC00085,2024-09-17,2024-09-23,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,4973,377.06,1875119.38,6,30 días,1
OC00086,2024-11-20,2024-11-25,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,1851,397.29,735383.79,5,Contado,1
OC00087,2024-12-08,2024-12-16,PROV001 - Laboratorios Jaloma SA de CV,SKU005,Jaloma Belleza,5011,371.22,1860183.42,8,30 días,1
OC00088,2022-12-28,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,2633,323.87,852749.71,5,30 días,1
OC00089,2023-01-28,2023-02-06,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,4036,330.91,1335552.76,9,Contado,1
OC00090,2023-03-22,2023-03-27,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,5906,331.93,1960378.58,5,30 días,1
OC00091,2023-05-21,2023-05-29,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,4483,318.79,1429135.57,8,30 días,1
OC00092,2023-07-31,2023-08-07,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,2753,337.87,930156.11,7,30 días,1
OC00093,2023-08-28,2023-09-04,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,3664,310.62,1138111.68,7,Contado,1
OC00094,2023-10-21,2023-10-30,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,3872,318.37,1232728.64,9,60 días,1
OC00095,2023-11-20,2023-11-27,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,6591,344.15,2268292.65,7,Contado,1
OC00096,2024-02-25,2024-03-04,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,3748,319.46,1197336.08,8,60 días,1
OC00097,2024-04-15,2024-04-22,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,2178,333.59,726559.02,7,45 días,1
OC00098,2024-05-18,2024-05-27,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,2673,351.58,939773.34,9,Contado,1
OC00099,2024-06-16,2024-06-24,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,2472,329.76,815166.72,8,60 días,1
OC00100,2024-08-02,2024-08-12,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,1920,347.74,667660.8,10,60 días,1
OC00101,2024-08-23,2024-09-02,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,3112,312.12,971317.44,10,Contado,1
OC00102,2024-10-13,2024-10-21,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,3160,322.21,1018183.6,8,45 días,1
OC00103,2024-11-09,2024-11-18,PROV001 - Laboratorios Jaloma SA de CV,SKU006,Jaloma Belleza,5211,332.92,1734846.12,9,45 días,1
OC00104,2022-12-28,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,2029,345.15,700309.35,5,45 días,1
OC00105,2023-01-02,2023-01-09,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,4804,353.33,1697397.32,7,60 días,1
OC00106,2023-02-25,2023-03-06,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,7009,362.08,2537818.72,9,60 días,1
OC00107,2023-05-20,2023-05-29,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,2723,362.41,986842.43,9,Contado,1
OC00108,2023-06-25,2023-07-03,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,5744,355.49,2041934.56,8,60 días,1
OC00109,2023-08-22,2023-08-28,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,4988,333.62,1664096.56,6,60 días,1
OC00110,2023-10-10,2023-10-16,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,6566,350.69,2302630.54,6,Contado,1
OC00111,2023-12-22,2024-01-01,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,2950,339.81,1002439.5,10,Contado,1
OC00112,2024-01-31,2024-02-05,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3554,358.91,1275566.14,5,30 días,1
OC00113,2024-03-06,2024-03-11,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,5240,359.41,1883308.4,5,Contado,1
OC00114,2024-05-11,2024-05-20,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,5257,358.17,1882899.69,9,Contado,1
OC00115,2024-07-06,2024-07-15,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3656,346.42,1266511.52,9,Contado,1
OC00116,2024-08-20,2024-08-26,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3109,335.9,1044313.1,6,60 días,1
OC00117,2024-10-06,2024-10-14,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3429,380.58,1305008.82,8,60 días,1
OC00118,2024-11-13,2024-11-18,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3062,360.28,1103177.36,5,45 días,1
OC00119,2024-12-09,2024-12-16,PROV001 - Laboratorios Jaloma SA de CV,SKU007,Jaloma Belleza,3575,355.49,1270876.75,7,60 días,1
OC00120,2022-12-24,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4354,344.07,1498080.78,9,30 días,1
OC00121,2023-01-27,2023-02-06,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4036,326.49,1317713.64,10,45 días,1
OC00122,2023-03-15,2023-03-20,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4059,362.78,1472524.02,5,45 días,1
OC00123,2023-04-25,2023-05-01,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,6076,335.13,2036249.88,6,Contado,1
OC00124,2023-06-17,2023-06-26,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,6443,343.44,2212783.92,9,30 días,1
OC00125,2023-08-12,2023-08-21,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,3387,351.7,1191207.9,9,60 días,1
OC00126,2023-10-04,2023-10-09,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4021,354.9,1427052.9,5,45 días,1
OC00127,2023-11-04,2023-11-13,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,6009,344.67,2071122.03,9,60 días,1
OC00128,2024-01-17,2024-01-22,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4025,330.77,1331349.25,5,45 días,1
OC00129,2024-02-27,2024-03-04,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,3556,353.26,1256192.56,6,30 días,1
OC00130,2024-04-02,2024-04-08,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,6700,356.73,2390091.0,6,30 días,1
OC00131,2024-06-03,2024-06-10,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,5598,361.18,2021885.64,7,Contado,1
OC00132,2024-07-29,2024-08-05,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,4081,352.49,1438511.69,7,Contado,1
OC00133,2024-09-03,2024-09-09,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,5462,373.91,2042296.42,6,45 días,1
OC00134,2024-10-19,2024-10-28,PROV001 - Laboratorios Jaloma SA de CV,SKU008,Jaloma Belleza,8223,347.05,2853792.15,9,30 días,1
OC00135,2023-01-01,2023-01-09,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,3115,786.23,2449106.45,8,60 días,1
OC00136,2023-02-18,2023-02-27,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2479,818.36,2028714.44,9,Contado,1
OC00137,2023-03-29,2023-04-03,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,3589,830.26,2979803.14,5,45 días,1
OC00138,2023-05-06,2023-05-15,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,3223,823.32,2653560.36,9,45 días,1
OC00139,2023-07-15,2023-07-24,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,3608,777.5,2805220.0,9,Contado,1
OC00140,2023-08-28,2023-09-04,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2918,803.82,2345546.76,7,45 días,1
OC00141,2023-10-18,2023-10-23,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,1855,813.16,1508411.8,5,30 días,1
OC00142,2023-10-27,2023-11-06,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,8370,781.92,6544670.4,10,30 días,1
OC00143,2024-03-17,2024-03-25,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2390,753.53,1800936.7,8,30 días,1
OC00144,2024-04-23,2024-04-29,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2116,748.7,1584249.2,6,45 días,1
OC00145,2024-05-26,2024-06-03,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,1955,791.76,1547890.8,8,30 días,1
OC00146,2024-06-17,2024-06-24,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,4508,807.35,3639533.8,7,30 días,1
OC00147,2024-08-20,2024-08-26,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2621,765.71,2006925.91,6,30 días,1
OC00148,2024-10-01,2024-10-07,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,2898,756.12,2191235.76,6,45 días,1
OC00149,2024-11-18,2024-11-25,PROV001 - Laboratorios Jaloma SA de CV,SKU009,Jaloma Belleza,3611,763.92,2758515.12,7,Contado,1
OC00150,2022-12-26,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,2557,301.8,771702.6,7,Contado,1
OC00151,2023-01-30,2023-02-06,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,1975,309.35,610966.25,7,45 días,1
OC00152,2023-03-01,2023-03-06,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,2790,304.47,849471.3,5,45 días,1
OC00153,2023-03-31,2023-04-10,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,3335,300.08,1000766.8,10,Contado,1
OC00154,2023-05-02,2023-05-08,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,2813,316.68,890820.84,6,60 días,1
OC00155,2023-06-06,2023-06-12,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,3021,332.68,1005026.28,6,45 días,1
OC00156,2023-07-07,2023-07-17,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,3587,300.14,1076602.18,10,Contado,1
OC00157,2023-08-23,2023-08-28,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,5061,319.29,1615926.69,5,45 días,1
OC00158,2023-10-27,2023-11-06,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,2855,291.75,832946.25,10,30 días,1
OC00159,2023-11-25,2023-12-04,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,3750,313.72,1176450.0,9,Contado,1
OC00160,2024-01-08,2024-01-15,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,4273,290.13,1239725.49,7,30 días,1
OC00161,2024-02-25,2024-03-04,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,3964,295.75,1172353.0,8,60 días,1
OC00162,2024-04-09,2024-04-15,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,4768,299.52,1428111.36,6,45 días,1
OC00163,2024-06-01,2024-06-10,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,5180,276.93,1434497.4,9,45 días,1
OC00164,2024-07-30,2024-08-05,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,5238,278.13,1456844.94,6,60 días,1
OC00165,2024-10-14,2024-10-21,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,2872,289.79,832276.88,7,60 días,1
OC00166,2024-11-04,2024-11-11,PROV001 - Laboratorios Jaloma SA de CV,SKU010,Jaloma Belleza,6016,315.89,1900394.24,7,45 días,1
OC00167,2022-12-27,2023-01-02,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,4608,386.27,1779932.16,6,Contado,1
OC00168,2023-02-06,2023-02-13,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,3129,404.28,1264992.12,7,45 días,1
OC00169,2023-03-07,2023-03-13,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,5829,364.34,2123737.86,6,30 días,1
OC00170,2023-04-23,2023-05-01,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,7198,395.61,2847600.78,8,30 días,1
OC00171,2023-06-27,2023-07-03,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,5881,396.86,2333933.66,6,Contado,1
OC00172,2023-08-12,2023-08-21,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,6974,375.03,2615459.22,9,30 días,1
OC00173,2023-10-15,2023-10-23,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,5746,419.05,2407861.3,8,60 días,1
OC00174,2023-11-26,2023-12-04,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,7160,370.4,2652064.0,8,Contado,1
OC00175,2024-02-13,2024-02-19,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,6041,386.21,2333094.61,6,45 días,1
OC00176,2024-04-10,2024-04-15,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,3719,428.3,1592847.7,5,45 días,1
OC00177,2024-05-06,2024-05-13,PROV001 - Laboratorios Jaloma SA de CV,SKU011,Jaloma Belleza,5167,375.16,1938451.72,7,Contado,1
