semana,sku,stock_cajas,demanda_semana,reabasto_cajas,dias_inventario,quiebre_stock,merma_cajas,punto_reorden
2024-07-29,SKU003,2308,1004,0,16.1,0,6,3012
2024-08-05,SKU003,1571,731,0,15.0,0,3,2193
2024-08-12,SKU003,4790,529,3751,63.4,0,16,1587
2024-08-19,SKU003,4009,765,0,36.7,0,48,2295
2024-08-26,SKU003,3522,439,0,56.2,0,50,1317
2024-09-02,SKU003,2845,627,0,31.8,0,7,1881
2024-09-09,SKU003,9232,959,7353,67.4,0,127,2877
2024-09-16,SKU003,8354,751,0,77.9,0,28,2253
2024-09-23,SKU003,7712,614,0,87.9,0,53,1842
2024-09-30,SKU003,6854,805,0,59.6,0,3,2415
2024-10-07,SKU003,6116,735,0,58.2,0,76,2205
2024-10-14,SKU003,5440,600,0,63.5,0,46,1800
2024-10-21,SKU003,4426,968,0,32.0,0,38,2904
2024-10-28,SKU003,3522,866,0,28.5,0,9,2598
2024-11-04,SKU003,10292,1190,7969,60.5,0,89,3570
2024-11-11,SKU003,9575,628,0,106.7,0,67,1884
2024-11-18,SKU003,8311,1197,0,48.6,0,86,3591
2024-11-25,SKU003,7703,522,0,103.3,0,114,1566
2024-12-02,SKU003,6861,728,0,66.0,0,95,2184
2024-12-09,SKU003,5744,1022,0,39.3,0,66,3066
2024-12-16,SKU003,4676,1002,0,32.7,0,32,3006
2024-12-23,SKU003,3912,732,0,37.4,0,9,2196
2024-12-30,SKU003,3728,175,0,149.1,0,47,525
2023-01-02,SKU004,2555,378,2418,47.3,0,32,1134
2023-01-09,SKU004,2018,505,0,28.0,0,22,1515
2023-01-16,SKU004,1612,384,0,29.4,0,15,1152
2023-01-23,SKU004,5151,556,4110,64.8,0,63,1668
2023-01-30,SKU004,4557,531,0,60.1,0,9,1593
2023-02-06,SKU004,4098,450,0,63.7,0,57,1350
2023-02-13,SKU004,3519,522,0,47.2,0,50,1566
2023-02-20,SKU004,2900,569,0,35.7,0,39,1707
2023-02-27,SKU004,2192,669,0,22.9,0,19,2007
2023-03-06,SKU004,1589,584,0,19.0,0,6,1752
2023-03-13,SKU004,1195,388,0,21.6,0,11,1164
2023-03-20,SKU004,2690,430,1936,43.8,0,36,1290
2023-03-27,SKU004,1916,738,0,18.2,0,2,2214
2023-04-03,SKU004,1313,601,0,15.3,0,8,1803
2023-04-10,SKU004,3237,469,2401,48.3,0,18,1407
2023-04-17,SKU004,2278,941,0,16.9,0,4,2823
2023-04-24,SKU004,1634,640,0,17.9,0,10,1920
2023-05-01,SKU004,4361,834,3571,36.6,0,41,2502
2023-05-08,SKU004,3971,349,0,79.6,0,53,1047
2023-05-15,SKU004,3226,692,0,32.6,0,42,2076
2023-05-22,SKU004,2642,542,0,34.1,0,21,1626
2023-05-29,SKU004,2223,398,0,39.1,0,24,1194
2023-06-05,SKU004,1793,406,0,30.9,0,15,1218
2023-06-12,SKU004,1202,576,0,14.6,0,4,1728
2023-06-19,SKU004,3848,736,3386,36.6,0,19,2208
2023-06-26,SKU004,3191,638,0,35.0,0,24,1914
2023-07-03,SKU004,2713,454,0,41.8,0,23,1362
2023-07-10,SKU004,2115,575,0,25.7,0,30,1725
2023-07-17,SKU004,6887,727,5529,66.3,0,1,2181
2023-07-24,SKU004,6308,578,0,76.4,0,9,1734
2023-07-31,SKU004,5639,660,0,59.8,0,65,1980
2023-08-07,SKU004,5056,518,0,68.3,0,69,1554
2023-08-14,SKU004,4288,699,0,42.9,0,1,2097
2023-08-21,SKU004,3697,590,0,43.9,0,32,1770
2023-08-28,SKU004,2990,675,0,31.0,0,26,2025
2023-09-04,SKU004,2134,830,0,18.0,0,16,2490
2023-09-11,SKU004,1897,221,0,60.1,0,26,663
2023-09-18,SKU004,1380,491,0,19.7,0,5,1473
2023-09-25,SKU004,951,424,0,15.7,0,13,1272
2023-10-02,SKU004,4032,549,3643,51.4,0,19,1647
2023-10-09,SKU004,3296,717,0,32.2,0,9,2151
2023-10-16,SKU004,2590,697,0,26.0,0,0,2091
2023-10-23,SKU004,2183,407,0,37.5,0,26,1221
2023-10-30,SKU004,1474,683,0,15.1,0,8,2049
2023-11-06,SKU004,6257,736,5527,59.5,0,69,2208
2023-11-13,SKU004,5398,790,0,47.8,0,35,2370
2023-11-20,SKU004,4393,970,0,31.7,0,37,2910
2023-11-27,SKU004,3701,655,0,39.6,0,37,1965
2023-12-04,SKU004,3076,588,0,36.6,0,11,1764
2023-12-11,SKU004,2423,642,0,26.4,0,24,1926
2023-12-18,SKU004,1815,584,0,21.8,0,22,1752
2023-12-25,SKU004,4797,665,3669,50.5,0,59,1995
2024-01-01,SKU004,4422,316,0,98.0,0,44,948
2024-01-08,SKU004,3780,598,0,44.2,0,6,1794
2024-01-15,SKU004,3332,442,0,52.8,0,46,1326
2024-01-22,SKU004,2661,625,0,29.8,0,14,1875
2024-01-29,SKU004,1856,791,0,16.4,0,27,2373
2024-02-05,SKU004,4348,640,3159,47.6,0,12,1920
2024-02-12,SKU004,4070,266,0,107.1,0,32,798
2024-02-19,SKU004,3635,403,0,63.1,0,40,1209
2024-02-26,SKU004,3189,406,0,55.0,0,6,1218
2024-03-04,SKU004,2499,684,0,25.6,0,7,2052
2024-03-11,SKU004,1698,794,0,15.0,0,18,2382
2024-03-18,SKU004,1205,475,0,17.8,0,9,1425
2024-03-25,SKU004,3252,515,2571,44.2,0,3,1545
2024-04-01,SKU004,2921,328,0,62.3,0,29,984
2024-04-08,SKU004,2582,310,0,58.3,0,36,930
2024-04-15,SKU004,2161,385,0,39.3,0,5,1155
2024-04-22,SKU004,1688,468,0,25.2,0,4,1404
2024-04-29,SKU004,4954,618,3888,56.1,0,28,1854
2024-05-06,SKU004,4451,475,0,65.6,0,56,1425
2024-05-13,SKU004,3485,910,0,26.8,0,45,2730
2024-05-20,SKU004,2678,762,0,24.6,0,32,2286
2024-05-27,SKU004,2052,594,0,24.2,0,29,1782
2024-06-03,SKU004,1420,603,0,16.5,0,0,1809
2024-06-10,SKU004,4729,722,4031,45.8,0,19,2166
2024-06-17,SKU004,4383,327,0,93.8,0,27,981
2024-06-24,SKU004,3774,582,0,45.4,0,52,1746
2024-07-01,SKU004,2919,803,0,25.4,0,9,2409
2024-07-08,SKU004,2399,511,0,32.9,0,14,1533
2024-07-15,SKU004,1961,424,0,32.4,0,29,1272
2024-07-22,SKU004,4266,689,3023,43.3,0,31,2067
2024-07-29,SKU004,3634,601,0,42.3,0,10,1803
2024-08-05,SKU004,3070,554,0,38.8,0,34,1662
2024-08-12,SKU004,2641,395,0,46.8,0,17,1185
2024-08-19,SKU004,2051,573,0,25.1,0,6,1719
2024-08-26,SKU004,1683,362,0,32.5,0,21,1086
2024-09-02,SKU004,4680,571,3589,57.4,0,15,1713
2024-09-09,SKU004,3887,778,0,35.0,0,19,2334
2024-09-16,SKU004,3374,494,0,47.8,0,0,1482
2024-09-23,SKU004,2732,642,0,29.8,0,33,1926
2024-09-30,SKU004,2027,672,0,21.1,0,9,2016
2024-10-07,SKU004,1420,598,0,16.6,0,6,1794
2024-10-14,SKU004,4170,714,3470,40.9,0,11,2142
2024-10-21,SKU004,3467,692,0,35.1,0,4,2076
2024-10-28,SKU004,3159,304,0,72.7,0,22,912
2024-11-04,SKU004,2430,707,0,24.1,0,21,2121
2024-11-11,SKU004,5465,859,3915,44.5,0,75,2577
2024-11-18,SKU004,4584,806,0,39.8,0,57,2418
2024-11-25,SKU004,3863,664,0,40.7,0,5,1992
2024-12-02,SKU004,3085,773,0,27.9,0,6,2319
2024-12-09,SKU004,2522,557,0,31.7,0,27,1671
2024-12-16,SKU004,2211,284,0,54.5,0,25,852
2024-12-23,SKU004,1727,459,0,26.3,0,21,1377
2024-12-30,SKU004,1539,167,0,64.5,0,11,501
2023-01-02,SKU005,1440,283,1473,35.6,0,2,849
2023-01-09,SKU005,3332,499,2393,46.7,0,8,1497
2023-01-16,SKU005,3008,316,0,66.6,0,24,948
2023-01-23,SKU005,2579,405,0,44.6,0,18,1215
2023-01-30,SKU005,1808,753,0,16.8,0,17,2259
2023-02-06,SKU005,5410,768,4387,49.3,0,64,2304
2023-02-13,SKU005,4736,610,0,54.3,0,48,1830
2023-02-20,SKU005,4246,442,0,67.2,0,53,1326
2023-02-27,SKU005,3548,645,0,38.5,0,31,1935
2023-03-06,SKU005,2905,612,0,33.2,0,26,1836
2023-03-13,SKU005,2671,208,0,89.9,0,37,624
2023-03-20,SKU005,1976,658,0,21.0,0,24,1974
2023-03-27,SKU005,6488,906,5442,50.1,0,88,2718
2023-04-03,SKU005,5968,432,0,96.7,0,36,1296
2023-04-10,SKU005,4862,1070,0,31.8,0,41,3210
2023-04-17,SKU005,4041,780,0,36.3,0,41,2340
2023-04-24,SKU005,3302,698,0,33.1,0,38,2094
2023-05-01,SKU005,10035,1139,7910,61.7,0,18,3417
2023-05-08,SKU005,9119,898,0,71.1,0,118,2694
2023-05-15,SKU005,7952,1049,0,53.1,0,31,3147
2023-05-22,SKU005,6734,1187,0,39.7,0,2,3561
2023-05-29,SKU005,5515,1217,0,31.7,0,74,3651
2023-06-05,SKU005,4237,1204,0,24.6,0,36,3612
2023-06-12,SKU005,13213,1629,10641,56.8,0,160,4887
2023-06-19,SKU005,11934,1119,0,74.7,0,19,3357
2023-06-26,SKU005,10820,1095,0,69.2,0,140,3285
2023-07-03,SKU005,9175,1505,0,42.7,0,131,4515
2023-07-10,SKU005,7983,1061,0,52.7,0,108,3183
2023-07-17,SKU005,7104,771,0,64.5,0,15,2313
2023-07-24,SKU005,6182,907,0,47.7,0,49,2721
2023-07-31,SKU005,4810,1323,0,25.4,0,23,3969
2023-08-07,SKU005,3635,1152,0,22.1,0,42,3456
2023-08-14,SKU005,2834,759,0,26.1,0,5,2277
2023-08-21,SKU005,1896,933,0,14.2,0,13,2799
2023-08-28,SKU005,1280,603,0,14.9,0,14,1809
2023-09-04,SKU005,2889,469,2092,43.1,0,3,1407
2023-09-11,SKU005,2397,489,0,34.3,0,33,1467
2023-09-18,SKU005,1941,423,0,32.1,0,14,1269
2023-09-25,SKU005,6153,832,5058,51.8,0,6,2496
